RazaoSocial,UF,Total_Despesas,Media_Trimestral,Variabilidade_Std
UNIODONTO DE ARARAQUARA COOPERATIVA ODONTOLÓGICA,SP,53797413.37,978134.7885454545,1487231.5539896553
UNIODONTO DO SUL GOIANO COOPERATIVA ODONTOLOGICA,GO,51663833.13,1230091.2650000001,1526094.0111053123
UNIODONTO DE JUNDIAÍ COOPERATIVA ODONTOLÓGICA,SP,51269536.85,854492.2808333334,1217407.2602154387
CEAM BRASIL - PLANOS DE SAÚDE LTDA,MG,50904375.7,1755323.3,2307868.021610635
SAMIG - SERV. DE ASSISTENCIA MEDICA DA ILHA DO GOVERNADOR LTDA,RJ,48890613.37,679036.2968055555,837405.465629466
CAMIM OPERADORA DE PLANO DE SAÚDE LTDA,RJ,48016641.09,1231195.9253846155,1088003.2214023531
ASSOCIAÇÃO DOS SERVIDORES PÚBLICOS DA ADMINISTRAÇÃO DIRETA DO GOVERNO DO ESTADO DO PARÁ - ASPARÁ,PA,46777229.82,1063118.8595454546,1525005.7091067769
PLANO DE ASSISTÊNCIA MÉDICA MINEIRA LTDA,MG,46378825.07,572578.0872839506,781745.3569101972
ASSOCIAÇÃO HOSPITAL SAÚDE DE VARGEM GRANDE DO SUL,SP,45480136.39,842224.747962963,1233382.3913720862
PRESERVE SAUDE ASSISTENCIA MEDICA LTDA,BA,43611238.12,363426.9843333333,868487.231540996
SD-M OPERADORA DE PLANOS DE SAUDE LTDA,RJ,43049475.9,878560.7326530612,1078782.2549343773
VALE PLANOS DE SAÚDE LTDA,PE,42265403.93,960577.3620454546,1099705.7168347624
ASSOCIAÇÃO SAÚDE RURAL ALEGRETE,RS,41423620.14,552314.9352000001,1029858.9489467985
ASSOCIAÇÃO POLICIAL DE ASSISTÊNCIA À SAÚDE DE JAÚ,SP,40440982.41,416917.34443298966,812837.3555684279
CAIXA DE ASSISTÊNCIA DOS EMPREGADOS DO SETOR PÚBLICO DO ESTADO DE GOIÁS - CAEME,GO,39980216.11,579423.4218840579,1059015.848722469
UNIODONTO DE LONDRINA COOP. ODONTOLÓGICA,PR,39664374.11,610221.1401538461,944451.6976184928
DENTAL CENTER LTDA,PB,37880995.88,841799.9084444445,1102743.3595102418
ASSOCIACAO DOS SERVIDORES DA EMDAGRO - ASSEM,SE,37700030.43,608065.0069354839,1035860.4519701822
ASSOCIAÇÃO POLICIAL DE ASSISTENCIA A SAUDE DE BOTUCATU,SP,36371905.91,661307.3801818182,1104451.6398109114
BENEFICENCIA SOCIAL BOM SAMARITANO,MG,35763311.2,340602.96380952385,575418.8887911922
SANTA CASA DE MISERICÓRDIA E ASILO DOS POBRES DE BATATAIS,SP,35019932.46,282418.81016129034,535339.8466148627
HSMED SAUDE LTDA,RJ,35014520.9,389050.2322222222,593468.2890091519
ODONT-OPERADORA ODONTOLOGICA LTDA,SP,33741872.95,661605.3519607844,788841.2366372007
PD BRASIL ASSISTENCIA ODONTOLOGICA LTDA,MG,32400246.04,720005.4675555555,412255.2758901889
UNIODONTO RS FEDERACAO DAS UNIODONTOS DO RGS LTDA,RS,31902802.39,759590.5330952381,833084.9900831662
ÔNIX OPERADORA DE PLANOS DE SAÚDE LTDA,RJ,29258588.31,495908.27644067793,531184.8985555894
YOU ASSISTÊNCIA MÉDICA LTDA.,MG,28506600.32,2036185.7371428572,1657364.0153672313
SALUSMED OPERADORA DE PLANOS DE SAUDE LTDA,SP,28392018.37,630933.7415555556,816594.2322457894
ODONTOLIVE OPERADORA DE PLANOS ODONTOLÓGICOS LTDA.,SP,27802388.7,579216.43125,878505.4838941605
"ASSOC DE ASSIST À SAÚDE DOS SERV DAS UNIV E INST FED, EST E/OU FAC PART EM PE",PE,26664178.19,555503.7122916667,709752.4197866721
ASSOCIAÇÃO PADRE PIO PLANOS DE SAÚDE,SP,24146840.490000002,383283.1823809524,630662.944941963
COOPERATIVA DE TRABALHO ODONTOLOGICO - UNIODONTO ITAJUBÁ,MG,23514952.25,653193.1180555555,706202.0556387091
ASSOCIAÇÃO SERVIÇOS ODONTOLÓGICOS DA INDÚSTRIA DE MINAS GERAIS - ODONTOINDUSTRIA,MG,22558604.75,939941.8645833334,674678.9372385512
ASSOCIAÇÃO DOS FISCAIS DE TRIBUTOS ESTADUAIS DO RS - AFISVEC,RS,20621297.75,502958.48170731706,643482.2692024311
PLANO DE ASSISTÊNCIA ODONTOLÓGICA FAUCHARD LTDA. ME,BA,18557869.990000002,883708.0947619049,692161.5870812379
HEALTH-MED SISTEMA DE SAUDE LTDA,RJ,17951642.65,284946.7087301587,428262.1062914022
QUALIDONTO - QUALIDADE EM ODONTOLOGIA LTDA ,BA,17162832.99,817277.7614285713,639970.4091823102
UNIODONTO DE MATO GROSSO COOP TRAB ODONTOLOGICO LTDA,MT,17077199.55,341543.99100000004,447452.24520385114
BLUZZ SAÚDE S/A,ES,17056630.59,262409.7013846154,347985.53977658413
SANTA CASA DA MISERICÓRDIA DE SÃO JOÃO DEL REI,MG,16918877.41,225585.03213333333,258118.90729433444
CAIXA SEGURADORA ESPECIALIZADA EM SAÚDE S/A,SP,15885402.46,387448.8404878049,640437.7084865469
MEDHEALTH PLANOS DE SAÚDE LTDA,PR,15052433.03,295145.7456862745,688732.3364984201
ODONTO SEG OPERADORA DE PLANOS ODONTOLOGICOS S.A.,SP,14263588.72,594316.1966666667,508237.4633762255
HOSPITAL DE CARIDADE SÃO VICENTE DE PAULO,PR,12878415.77,429280.5256666666,239028.69646761144
SAME-SERVIÇO DE ASSISTÊNCIA MÉDICA EMPRESARIAL LTDA.,MA,12736608.74,289468.38045454543,339482.1554515331
CROWN ODONTOLOGIA DE GRUPO LTDA,SP,10955023.76,280898.04512820515,293533.8274579085
ODILE SERVIÇOS DE SAÚDE LTDA.,SP,10862971.23,472303.09695652174,288860.5493879101
INNOVA PLANO DE SAUDE LTDA,RO,10848091.87,387431.8525,512149.5770950459
SORRIDEN CONVÊNIOS ODONTOLÓGICOS S.A.,SP,10324732.24,382397.4903703704,303598.58464870293
INFINITY SAÚDE SUPLEMENTAR LTDA,MT,9616283.12,162987.8494915254,241548.50726042432
UNIVIDA USA OPERADORA EM SAUDE S/A,SP,7079237.2,471949.14666666667,609968.593705482
ZURICH SANTANDER BRASIL ODONTO LTDA.,SP,6698418.64,318972.3161904762,225559.7074176857
BRASIL ODONTO OPERADORA DE PLANOS ODONTOLÓGICOS LTDA,TO,6428611.01,306124.3338095238,212980.75012859923
ALMA ODONTO OPERADORA DE PLANOS ODONTOLOGICOS LTDA,SP,6013158.16,250548.25666666668,133887.5324723711
SMART CARE SISTEMAS MÉDICOS E ODONTOLÓGICOS LTDA.,SP,5745191.92,359074.495,253480.03542455027
PLANO SIGMA SAÚDE LTDA,SP,5142541.45,321408.840625,98822.00473324092
EXCELÊNCIA PLANO DE SAÚDE S/A,ES,5016396.33,98360.71235294118,198861.4303010556
G & M ASSESSORIA MEDICA EMPRESARIAL LTDA,RJ,5009955.63,78280.55671875,98730.50413515078
POLIMÉDICA SAÚDE SOCIEDADE SIMPLES LTDA,RS,4936946.05,80933.54180327868,111672.29795332151
ODONTO PRIME S/S LTDA,CE,4857944.4,269885.80000000005,159305.9261398832
BEMSTAR ASSISTENCIA MEDICA LTDA,BA,4754937.77,83419.96087719298,82351.32580624623
BIORAL SISTEMA ODONTOLÓGICO LTDA.,SP,4612366.5,170828.38888888888,277656.73981782777
SAUDIA ASSISTENCIA MÉDICA LTDA,MG,3975998.7,64129.01129032258,88995.34914686129
ASSISTÊNCIA MÉDICA 12 DE OUTUBRO LTDA,SP,3529987.05,168094.6214285714,144075.429165661
INTERCLINICAS PLANO VIDA USA OPERADORA DE SAUDE LTDA,SP,2537854.03,97609.77038461537,162349.23057238158
LIVRI OPERADORA DE PLANO DE SAÚDE LTDA,SP,1760697.55,73362.39791666667,45140.09892724033
CLÍNICA SÃO GABRIEL S/S LTDA,SP,1389079.65,27781.592999999997,29718.694119471453
EVO SAUDE ASSISTENCIA MEDICA LTDA,DF,861805.86,31918.735555555555,40486.91383159277
SAGRADA SAÚDE ASSISTÊNCIA MÉDICA LTDA,MG,785669.03,19162.659268292682,24069.028780300043
PLURAL GESTÃO EM PLANOS DE SAÚDE LTDA,RJ,478569.42000000004,159523.14,147858.54512779537
SOCIODONTO PLANO DE ASSISTÊNCIA ODONTOLÓGICA LTDA,MG,317622.95,26468.579166666666,26517.3594963445
UNIMED PARAIBA - FEDERAÇAO DAS SOCIEDADES COOPERATIVAS DE TRABALHO MEDICO,PB,310892.39,5454.252456140352,9853.101992689424
SAUDE SALV ASSISTENCIA MEDICA LTDA,RO,222347.58,17103.66,16163.94042128651
VITTA SAUDE ADMINISTRADORA DE BENEFICIOS LTDA.,SP,53132.41,26566.205,3121.8835100064193
ARL ADMINISTRADORA DE BENEFÍCIOS LTDA.,SP,28400.0,2840.0,0.0
CENTRAL OPERADORA DE PLANOS DE SAÚDE NORTE-NORDESTE LTDA,PB,14360.52,1595.6133333333335,2385.35
MAXIMED PLANOS DE SAUDE LTDA,RJ,1.0,1.0,0.0
